  probclr   probfeed   va1    pa1   va2   sa   vb1    pb1   vb2   sb   id     t   d     v     f
        34        1       100  1.0    .  354     25  1.00   .   17   2   35  2     14      0
        34        1       100  1.0    .  354     25  1.00   .   17   2   36  2      4   -280
        34        1       100  1.0    .  354     25  1.00   .   17   2   37  2     12    552
        34        1       100  1.0    .  354     25  1.00   .   17   2   38  2      1    544
        34        1       100  1.0    .  354     25  1.00   .   17   2   39  2     16    -79
        34        1       100  1.0    .  354     25  1.00   .   17   2   40  2     27    366
        34        1       100  1.0    .  354     25  1.00   .   17   2   41  1    448     14
        34        1       100  1.0    .  354     25  1.00   .   17   2   42  2     46    -87
        34        1       100  1.0    .  354     25  1.00   .   17   2   43  2     54    297
        34        1       100  1.0    .  354     25  1.00   .   17   2   44  2     40    914
        34        1       100  1.0    .  354     25  1.00   .   17   2   45  2      0    100
        34        1       100  1.0    .  354     25  1.00   .   17   2   46  2     47   -214
        34        1       100  1.0    .  354     25  1.00   .   17   2   47  2     37    120
        34        1       100  1.0    .  354     25  1.00   .   17   2   48  2     36    -71
        34        1       100  1.0    .  354     25  1.00   .   17   2   49  2      0    441
        34        1       100  1.0    .  354     25  1.00   .   17   2   50  2      1    317
        34        1       100  1.0    .  354     25  1.00   .   17   2   51  2     49    -90
        34        1       100  1.0    .  354     25  1.00   .   17   2   52  2     12     96
        34        1       100  1.0    .  354     25  1.00   .   17   2   53  2     34   -173
        34        1       100  1.0    .  354     25  1.00   .   17   2   54  2     30    420
        34        1       100  1.0    .  354     25  1.00   .   17   2   55  1    385     -1
        34        1       100  1.0    .  354     25  1.00   .   17   2   56  2      0   -485
        34        1       100  1.0    .  354     25  1.00   .   17   2   57  2      0    332
        34        1       100  1.0    .  354     25  1.00   .   17   2   58  1    315     12
        34        1       100  1.0    .  354     25  1.00   .   17   2   59  1     24     12
        34        1       100  1.0    .  354     25  1.00   .   17   2   60  1    -68     34
        34        1       100  1.0    .  354     25  1.00   .   17   2   61  1   -233     28
        34        1       100  1.0    .  354     25  1.00   .   17   2   62  2      4    387
        34        1       100  1.0    .  354     25  1.00   .   17   2   63  2     13    520
        34        1       100  1.0    .  354     25  1.00   .   17   2   64  2     20     48
        34        1       100  1.0    .  354     25  1.00   .   17   2   65  2      0    301
        34        1       100  1.0    .  354     25  1.00   .   17   2   66  2      9    335
        34        1       100  1.0    .  354     25  1.00   .   17   2   67  1    110     35
        34        1       100  1.0    .  354     25  1.00   .   17   2   68  1   -116     22
        34        1       100  1.0    .  354     25  1.00   .   17   2   69  2     30     81
        34        1       100  1.0    .  354     25  1.00   .   17   2   70  2     40    377
        34        1       100  1.0    .  354     25  1.00   .   17   2   71  2     19    264
        34        1       100  1.0    .  354     25  1.00   .   17   2   72  2     33   1210
        34        1       100  1.0    .  354     25  1.00   .   17   2   73  2     78    150
        34        1       100  1.0    .  354     25  1.00   .   17   2   74  2     29     31
        34        1       100  1.0    .  354     25  1.00   .   17   2   75  2     25   -266
        34        1       100  1.0    .  354     25  1.00   .   17   2   76  1    554     15
        34        1       100  1.0    .  354     25  1.00   .   17   2   77  2      4   -275
        34        1       100  1.0    .  354     25  1.00   .   17   2   78  2      0   -553
        34        1       100  1.0    .  354     25  1.00   .   17   2   79  2     13    -90
        34        1       100  1.0    .  354     25  1.00   .   17   2   80  2     75    126
        34        1       100  1.0    .  354     25  1.00   .   17   2   81  1   -471     23
        34        1       100  1.0    .  354     25  1.00   .   17   2   82  2     32    -66
        34        1       100  1.0    .  354     25  1.00   .   17   2   83  2     15   -311
        34        1       100  1.0    .  354     25  1.00   .   17   2   84  2     24    551
        34        1       100  1.0    .  354     25  1.00   .   17   2   85  2     58   -120
        34        1       100  1.0    .  354     25  1.00   .   17   2   86  1    286     18
        34        1       100  1.0    .  354     25  1.00   .   17   2   87  2      5      0
        34        1       100  1.0    .  354     25  1.00   .   17   2   88  2      6    229
        34        1       100  1.0    .  354     25  1.00   .   17   2   89  2     40     16
        34        1       100  1.0    .  354     25  1.00   .   17   2   90  2     38    101
        34        1       100  1.0    .  354     25  1.00   .   17   2   91  2     17   -188
        34        1       100  1.0    .  354     25  1.00   .   17   2   92  2     10     87
        34        1       100  1.0    .  354     25  1.00   .   17   2   93  2     25   -450
        34        1       100  1.0    .  354     25  1.00   .   17   2   94  2      4   -122
        34        1       100  1.0    .  354     25  1.00   .   17   2   95  1     97     15
        34        1       100  1.0    .  354     25  1.00   .   17   2   96  1   -206     31
        34        1       100  1.0    .  354     25  1.00   .   17   2   97  2      2   -252
        34        1       100  1.0    .  354     25  1.00   .   17   2   98  1    328     31
        34        1       100  1.0    .  354     25  1.00   .   17   2   99  1    349     51
        34        1       100  1.0    .  354     25  1.00   .   17   2  100  2     26    -42
        34        1       100  1.0    .  354     25  1.00   .   17   2  101  2      0   -511
        34        1       100  1.0    .  354     25  1.00   .   17   2  102  2     31    144
        34        1       100  1.0    .  354     25  1.00   .   17   2  103  2     41    182
        34        1       100  1.0    .  354     25  1.00   .   17   2  104  2     27    608
        34        1       100  1.0    .  354     25  1.00   .   17   2  105  2     43    -54
        34        1       100  1.0    .  354     25  1.00   .   17   2  106  2     27   -333
        34        1       100  1.0    .  354     25  1.00   .   17   2  107  2     16    759
        34        1       100  1.0    .  354     25  1.00   .   17   2  108  2      0   -196
        34        1       100  1.0    .  354     25  1.00   .   17   2  109  1    615     16
        34        1       100  1.0    .  354     25  1.00   .   17   2  110  2     25    101
        34        1       100  1.0    .  354     25  1.00   .   17   2  111  2     48    337
        34        1       100  1.0    .  354     25  1.00   .   17   2  112  1    526      3
        34        1       100  1.0    .  354     25  1.00   .   17   2  113  2     30    -73
        34        1       100  1.0    .  354     25  1.00   .   17   2  114  2     27    -93
        34        1       100  1.0    .  354     25  1.00   .   17   2  115  1    421     22
        34        1       100  1.0    .  354     25  1.00   .   17   2  116  1   -134      3
        34        1       100  1.0    .  354     25  1.00   .   17   2  117  1   -282     14
        34        1       100  1.0    .  354     25  1.00   .   17   2  118  1    409     -7
        34        1       100  1.0    .  354     25  1.00   .   17   2  119  1    249     25
        34        1       100  1.0    .  354     25  1.00   .   17   2  120  1    130     14
        34        1       100  1.0    .  354     25  1.00   .   17   2  121  1    163     18
        34        1       100  1.0    .  354     25  1.00   .   17   2  122  1    693     24
        34        1       100  1.0    .  354     25  1.00   .   17   2  123  1   -207      1
        34        1       100  1.0    .  354     25  1.00   .   17   2  124  1     70     31
        34        1       100  1.0    .  354     25  1.00   .   17   2  125  1      8     18
        34        1       100  1.0    .  354     25  1.00   .   17   2  126  1     62     29
        34        1       100  1.0    .  354     25  1.00   .   17   2  127  1   -242     14
        34        1       100  1.0    .  354     25  1.00   .   17   2  128  1   -127     31
        34        1       100  1.0    .  354     25  1.00   .   17   2  129  1     13     47
        34        1       100  1.0    .  354     25  1.00   .   17   2  130  1     53     51
        34        1       100  1.0    .  354     25  1.00   .   17   2  131  1    169     26
        34        1       100  1.0    .  354     25  1.00   .   17   2  132  1   -174     43
        34        1       100  1.0    .  354     25  1.00   .   17   2  133  1   -353     11
        34        1       100  1.0    .  354     25  1.00   .   17   2  134  1   -309     65
        34        1       100  1.0    .  354     25  1.00   .   17   2  135  2     19   -264
        34        1       100  1.0    .  354     25  1.00   .   17   2  136  2     30   -117
        34        1       100  1.0    .  354     25  1.00   .   17   2  137  2     14    -12
        34        1       100  1.0    .  354     25  1.00   .   17   2  138  1   -138     18
        34        1       100  1.0    .  354     25  1.00   .   17   2  139  1    106     25
        34        1       100  1.0    .  354     25  1.00   .   17   2  140  1   -812     25
        34        1       100  1.0    .  354     25  1.00   .   17   2  141  2      0    754
        34        1       100  1.0    .  354     25  1.00   .   17   2  142  2      2    218
        34        1       100  1.0    .  354     25  1.00   .   17   2  143  2     39     48
        34        1       100  1.0    .  354     25  1.00   .   17   2  144  2     26   -169
        34        1       100  1.0    .  354     25  1.00   .   17   2  145  1    227    -10
        34        1       100  1.0    .  354     25  1.00   .   17   2  146  1    171     24
        34        1       100  1.0    .  354     25  1.00   .   17   2  147  1    561     43
        34        1       100  1.0    .  354     25  1.00   .   17   2  148  1    -91     13
        34        1       100  1.0    .  354     25  1.00   .   17   2  149  2     50    255
        34        1       100  1.0    .  354     25  1.00   .   17   2  150  2     36     70
        34        1       100  1.0    .  354     25  1.00   .   17   2  151  2     16    279
        34        1       100  1.0    .  354     25  1.00   .   17   2  152  2     26    123
        34        1       100  1.0    .  354     25  1.00   .   17   2  153  2      0    254
        34        1       100  1.0    .  354     25  1.00   .   17   2  154  1    -35     52
        34        1       100  1.0    .  354     25  1.00   .   17   2  155  2     50    299
        34        1       100  1.0    .  354     25  1.00   .   17   2  156  2     13    122
        34        1       100  1.0    .  354     25  1.00   .   17   2  157  2     41    198
        34        1       100  1.0    .  354     25  1.00   .   17   2  158  1   -247     17
        34        1       100  1.0    .  354     25  1.00   .   17   2  159  1     42     36
        34        1       100  1.0    .  354     25  1.00   .   17   2  160  1   -231     -4
        34        1       100  1.0    .  354     25  1.00   .   17   2  161  1   -302    -10
        34        1       100  1.0    .  354     25  1.00   .   17   2  162  2     47    421
        34        1       100  1.0    .  354     25  1.00   .   17   2  163  2      0    337
        34        1       100  1.0    .  354     25  1.00   .   17   2  164  2     28   -233
        34        1       100  1.0    .  354     25  1.00   .   17   2  165  2     28    438
        34        1       100  1.0    .  354     25  1.00   .   17   2  166  2     29   -154
        34        1       100  1.0    .  354     25  1.00   .   17   2  167  2      9   -248
        34        1       100  1.0    .  354     25  1.00   .   17   2  168  2     32   -268
        34        1       100  1.0    .  354     25  1.00   .   17   2  169  2     49    488
        34        1       100  1.0    .  354     25  1.00   .   17   2  170  2     40   -291
        34        1       100  1.0    .  354     25  1.00   .   17   2  171  2     25    237
        34        1       100  1.0    .  354     25  1.00   .   17   2  172  2     24   -167
        34        1       100  1.0    .  354     25  1.00   .   17   2  173  1    626     53
        34        1       100  1.0    .  354     25  1.00   .   17   2  174  2      5    243
        34        1       100  1.0    .  354     25  1.00   .   17   2  175  2     11    163
        34        1       100  1.0    .  354     25  1.00   .   17   2  176  1     17     30
        34        1       100  1.0    .  354     25  1.00   .   17   2  177  1   -507     34
        34        1       100  1.0    .  354     25  1.00   .   17   2  178  2     65     53
        34        1       100  1.0    .  354     25  1.00   .   17   2  179  2     19      2
        34        1       100  1.0    .  354     25  1.00   .   17   2  180  2     17   -629
        34        1       100  1.0    .  354     25  1.00   .   17   2  181  2     35     19
        34        1       100  1.0    .  354     25  1.00   .   17   2  182  2     50     95
        34        1       100  1.0    .  354     25  1.00   .   17   2  183  1   -292     36
        34        1       100  1.0    .  354     25  1.00   .   17   2  184  2      7     44
        34        1       100  1.0    .  354     25  1.00   .   17   2  185  2      0    284
        34        1       100  1.0    .  354     25  1.00   .   17   2  186  2      4    446
        34        1       100  1.0    .  354     25  1.00   .   17   2  187  2     23    115
        34        1       100  1.0    .  354     25  1.00   .   17   2  188  2     18    393
        34        1       100  1.0    .  354     25  1.00   .   17   2  189  2     21    585
